Långegärde, Strömstad
Västra bryggan, Strömstad
Ekenäs, Strömstad
Kilesand, Strömstad
Ramsö, Strömstad
Styrsö, Strömstad
Lindholmens vändplan, Strömstad
Öddö, Strömstad
Källviksdalen, Strömstad
Husevägen, Strömstad
Stensviks korsväg, Strömstad
Kungbäck, Strömstad
Kase, Strömstad
Lökholmen, Strömstad
Tjärnö Lovéncentret, Strömstad
Backen, Strömstad
Seglarbyn, Strömstad
Strand, Strömstad
Bogen, Strömstad
Korsnäs, Strömstad
Tjärnö kyrka, Strömstad
Båtsviksvägen, Strömstad
Tjärnö skola, Strömstad
Härslättsvägen, Strömstad
Seläters camping, Strömstad
Medvik södra, Strömstad
Dalarna, Strömstad
Strömstad spa, Strömstad
Medvik norra, Strömstad
Tjärnöbovägen, Strömstad
Öddö affär, Strömstad
Lindholmsvägen, Strömstad
Gullnäsholmen, Strömstad
Strömstads sjukhus, Strömstad
Strömstad norra hamn, Strömstad
Gullnäs, Strömstad
Vitbanksvägen, Strömstad
Color Line, Strömstad
Strömstad torg, Strömstad
Bojarkilen, Strömstad
Norra hamnen, Strömstad
Nyckleby, Strömstad
Strömstad station, Strömstad
Opalvägen, Strömstad
Ånneröd västra, Strömstad
Bojardalen, Strömstad
Lönntågsvägen, Tanum
Mörk, Strömstad
Surbrunnsgatan, Strömstad
Västra Berget, Strömstad
Kockholmsvägen, Strömstad
Biblioteket, Strömstad
Norrtullsgatan, Strömstad
Ånneröd, Strömstad
Mällby, Strömstad
Ånneröd norra, Strömstad
Bojarskolan, Strömstad
Brehultsvägen, Strömstad
Daftö västra, Strömstad
Södra Linnégatan, Strömstad
Strömstiernaskolan, Strömstad
Södertull, Strömstad
Hällestrand, Strömstad
Havstenssund, Tanum
Myrängsvägen, Strömstad
Myren Rossö, Strömstad
Fredrikshaldsvägen, Strömstad
Nilsemyr, Strömstad
Tångenvägen, Tanum
Hattmakaren, Strömstad
Hällestrand södra, Strömstad
Oslovägen, Strömstad
Hålkedalen, Strömstad
Långövägen, Strömstad
PENDELPARKERING-HÅLKEDALEN
Daftö östra, Strömstad
Härslätt södra, Strömstad
Ma, Strömstad
Härslätt, Strömstad
Rossö skola, Strömstad
Vikenvägen, Tanum
Stuveröd, Strömstad
Resö skola, Tanum
Räddningsstationen, Strömstad
Prästängsvägen, Strömstad
Kolvik, Strömstad
Röd, Strömstad
Resö östra, Tanum
Strömstad gymnasiet, Strömstad
